"biopsysite","WholeGenomeDoubling"," 1p"," 1q"," 2p"," 2q"," 3p"," 3q"," 4p"," 4q"," 5p"," 5q"," 6p"," 6q"," 7p"," 7q"," 8p"," 8q"," 9p"," 9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"Hartwig Liver","Yes",3.229094,3.968174,3.848509,4.154821,2.990249,2.99717,3.794094,2.976641,3.967989,3.396751,4.09183,4.732744,4.216292,4.784127,3.017203,3.600438,3.037445,3.036926,3.034989,2.994592,3.123167,3.955022,3.870947,3.952939,5.961821,2.771323,3.907105,3.958011,3.935287,2.039562,4.019592,2.702205,2.088885,2.983767,2.95154,5.287905,7.577318,3.794911,3.951918
"Hartwig Liver","Yes",3.072579,3.045078,3.849174,4.02412,3.761164,3.732368,2.0695,2.054859,2.923031,2.997289,3.764367,3.389878,6.82006,4.723001,1.919781,6.73048,2.550541,3.102626,3.138042,3.12881,4.408119,4.37793,2.977048,2.926411,4.908233,2.947636,3.093614,4.075742,4.029056,2.0924,4.109286,2.103216,2.03604,4.47329,3.264124,2.547677,7.503636,3.97784,3.000418
"Hartwig Liver","No",2.025222,2.000398,2.014433,2.00461,1.983907,1.980917,1.995857,1.978088,1.981857,2.000523,1.998352,1.982557,2.00251,1.978793,1.997515,1.99267,1.989504,2.002236,1.997999,1.993666,2.002011,1.983553,2.019058,1.986041,1.831125,1.982527,2.055375,1.985013,1.974232,1.995861,1.978617,2.000591,1.965799,1.953806,1.915076,2.016373,1.951799,1.944848,1.962443
"Hartwig Liver","Yes",2.115897,3.698481,3.115349,3.572022,3.973824,3.978417,2.988348,2.167595,2.955284,3.016354,5.793138,4.288511,5.861039,3.33339,2.90543,6.124539,2.987869,3.519438,4.802291,3.548828,3.910383,3.879293,4.266371,3.488527,5.475147,4.289935,2.838475,2.966763,2.987786,4.059059,3.325383,2.681588,1.977169,3.971684,3.142101,2.009149,7.698857,3.846121,2.953384
"Hartwig Liver","Yes",3.150314,4.141157,3.908027,3.865849,2.979715,3.359186,2.086254,2.317586,2.662894,3.134115,5.563672,3.823758,4.108588,3.902755,2.143857,3.769063,2.157296,3.062265,4.082992,4.082729,3.084124,3.746593,3.849305,4.070023,7.188771,3.006081,3.97225,4.005142,3.009314,3.424519,4.50768,2.952515,2.851535,3.562171,4.640413,7.788154,7.406287,3.810053,4.672975
"Hartwig Liver","Yes",2.039689,3.005238,2.500946,2.955888,2.018743,1.992948,1.996878,1.83522,3.962292,1.974247,3.013967,2.915148,3.967313,4.722505,1.462251,3.450696,2.001389,2.640734,5.973901,2.018569,2.01334,1.992074,2.811016,1.955941,5.863048,2.041017,1.523223,3.084795,2.992518,2.008362,1.994652,2.037733,1.944431,3.613888,2.394383,4.372757,6.559424,2.869536,2.001077
"Hartwig Liver","Yes",1.910686,3.538085,2.990645,2.253244,2.007507,2.536694,1.972015,1.598241,1.96304,2.01314,3.089109,2.968614,3.532813,3.454974,1.994312,3.996207,2.010297,2.153285,3.19061,2.242632,2.593807,2.448509,2.045966,2.018986,4.756649,1.990287,3.11092,1.979856,1.742945,2.01973,2.015886,3.888955,1.288647,2.212942,1.916016,5.318715,3.980843,2.585122,2.003461
"Hartwig Liver","Yes",2.32085,2.182526,3.067911,3.110882,4.304959,3.928396,2.402689,1.956054,3.978069,1.98445,3.870464,3.831902,4.986881,3.22407,1.706046,3.596781,3.204786,2.776378,2.987196,2.112318,3.479405,4.392299,3.043474,2.916351,5.403001,2.242149,2.965438,2.992152,2.973749,3.083052,2.938486,1.192971,1.507583,2.8613,2.837219,5.303102,5.917629,2.88314,1.974478
"Hartwig Liver","Yes",2.802344,3.288786,5.054081,3.633693,3.391456,3.025482,2.019927,1.999485,2.89531,2.489518,6.514888,3.133344,2.949468,2.142773,1.59069,3.170213,2.699197,2.911679,4.572995,2.30308,3.334227,3.319507,4.236652,3.20347,4.843062,1.992066,3.04269,3.893775,3.314617,2.530611,3.034596,2.075771,1.065515,3.2198,3.259741,5.966602,5.829713,2.277571,2.012015
"Hartwig Liver","Yes",2.098657,4.038438,3.061535,3.060326,2.74973,2.654845,2.0308,2.028662,2.334611,2.330249,3.067679,2.966241,4.958433,3.901282,1.495808,3.597116,2.734,2.749104,2.9905,2.989114,3.917006,3.046278,2.086271,2.090955,4.860969,2.098281,2.872374,2.8271,2.782656,2.0873,2.57715,2.094792,2.043046,2.94145,2.819429,5.401404,5.887301,2.024098,2.055176
