"chromosome","start","stop","CPCT02010474T","CPCT02010666T","CPCT02020293T","CPCT02020695T","CPCT02040091T","CPCT02040102T","CPCT02040188T","CPCT02040226T","CPCT02040264T","CPCT02050184T","CPCT02060259T","CPCT02070232T","CPCT02080084T","CPCT02160038T","CPCT02190007T","CPCT02210007T","CPCT02210064T","CPCT02220009T","CPCT02330036T","CPCT02330043T","CPCT02330055T","CPCT02380015T","CPCT02380016T","DRUP01010049T","DRUP01050025T","DRUP01050031T","DRUP01330008T"
"3",77000001,78000000,"2.93590000","1.98400000","1.94090000","1.97800000","1.99910000"," 5.31950000","3.92860000"," 2.95510000","3.98340000"," 5.77905737","2.95180000"," 4.03356793"," 3.68630000","2.99690000","1.96020000"," 2.00610000"," 1.99670000","3.98890000"," 5.15520000"," 2.335864882","2.00890000","1.94040000"," 3.26352308"," 2.060700000"," 6.04477538"," 5.96522742"," 1.808689676"
"3",78000001,79000000,"2.93590000","1.98400000","1.94090000","1.97800000","1.99910000"," 5.31950000","3.92860000"," 2.95510000","3.98340000"," 5.66500000","2.95180000"," 4.02880000"," 3.68630000","2.99690000","1.96020000"," 2.00610000"," 1.99802094","3.98890000"," 5.05575557"," 2.307700000","2.00890000","1.94040000"," 2.92866773"," 2.060700000"," 5.92460000"," 5.88410000"," 1.969318349"
"3",79000001,80000000,"2.93590000","1.98400000","1.94090000","1.97800000","1.99910000"," 5.31950000","3.92860000"," 2.95510000","3.98340000"," 5.66500000","2.95180000"," 4.02880000"," 3.68630000","2.99690000","1.96020000"," 2.00610000"," 2.00120000","3.98890000"," 5.01830000"," 2.307700000","2.00890000","1.94040000"," 3.60310000"," 2.060700000"," 5.92460000"," 5.88410000"," 1.959600000"
"3",80000001,81000000,"2.93590000","1.98400000","1.94090000","1.97800000","1.99910000"," 5.31950000","3.92860000"," 2.95510000","3.97087869"," 5.66500000","2.95180000"," 4.02880000"," 3.68630000","2.99690000","1.96020000"," 2.00610000"," 2.00120000","3.98890000"," 5.01830000"," 2.307700000","2.00890000","1.94040000"," 3.60310000"," 2.060700000"," 5.92460000"," 5.85683553"," 1.959600000"
"3",81000001,82000000,"2.93590000","1.98400000","1.48355267","1.97800000","1.99910000"," 5.31950000","3.92860000"," 2.95510000","3.96770000"," 5.66500000","2.95180000"," 4.02880000"," 3.68630000","2.99690000","1.96020000"," 2.00610000"," 2.00120000","3.98890000"," 5.01830000"," 2.307700000","2.00890000","1.94040000"," 3.60310000"," 2.060700000"," 5.92460000"," 5.83230000"," 1.959600000"
"3",82000001,83000000,"2.93590000","1.98400000","1.70682459","1.97800000","1.99910000"," 5.31873619","3.92860000"," 2.95510000","3.96770000"," 5.66500000","2.95180000"," 4.02880000"," 3.89042616","2.99690000","1.92713182"," 2.00610000"," 2.00120000","3.98890000"," 5.01830000"," 2.307700000","2.00890000","1.94040000"," 3.60310000"," 2.060700000"," 5.90645373"," 5.83230000"," 1.959600000"
"3",83000001,84000000,"2.93590000","1.98400000","1.93230000","1.97800000","1.99910000"," 5.29700000","3.92860000"," 2.95510000","3.96770000"," 5.66500000","2.95180000"," 4.02880000"," 3.88686324","2.99690000","1.89890000"," 2.00610000"," 2.00120000","3.98890000"," 5.01830000"," 2.307700000","2.00890000","1.94040000"," 3.60310000"," 2.060700000"," 5.73590000"," 5.83230000"," 1.959600000"
"3",84000001,85000000,"2.93590000","1.98400000","1.93230000","1.97800000","1.99910000"," 5.29700000","3.92860000"," 2.95510000","3.96770000"," 5.63427938","2.95180000"," 4.02880000"," 3.72320000","2.99690000","1.89890000"," 2.00610000"," 1.98371832","3.98890000"," 5.01830000"," 2.297930365","2.00890000","1.94040000"," 3.60310000"," 2.060700000"," 5.74943147"," 5.83671671"," 1.959600000"
"3",85000001,86000000,"2.93590000","1.98400000","1.93230000","1.97800000","1.99910000"," 5.29700000","3.92860000"," 2.95510000","3.96770000"," 5.55393532","2.95180000"," 4.02880000"," 3.72320000","2.99690000","1.89890000"," 2.00610000"," 2.00600000","3.98890000"," 5.01830000"," 3.504284972","2.00890000","1.94040000"," 3.60310000"," 2.060700000"," 5.78511662"," 5.84570150"," 1.959600000"
"3",86000001,87000000,"2.93590000","1.98400000","1.93230000","1.97800000","1.99910000"," 5.29700000","3.92860000"," 2.95510000","3.97953840"," 4.87040000","2.96133122"," 4.02880000"," 3.85154505","2.99690000","1.89890000"," 2.00610000"," 2.00600000","3.98890000"," 5.01830000"," 2.298600000","2.00890000","1.94040000"," 3.60310000"," 2.060700000"," 5.47850000"," 5.38590000"," 1.959600000"
